"Date","Center","Store","Product","InTransit","AtCenter","OnOrder","InStock"
2014-04-08,101,12105,102307200077068,0,0,0,8
2014-04-09,101,12105,102307200077068,0,0,0,8
2014-04-10,101,12105,102307200077068,0,0,0,8
2014-04-11,101,12105,102307200077068,0,0,0,8
2014-04-12,101,12105,102307200077068,0,0,0,8
2014-04-13,101,12105,102307200077068,0,0,0,8
2014-04-14,101,12105,102307200077068,0,0,0,7
2014-04-15,101,12105,102307200077068,0,0,0,7
2014-04-16,101,12105,102307200077068,0,0,0,7
2014-04-17,101,12105,102307200077068,0,0,0,7
2014-04-18,101,12105,102307200077068,0,0,0,7
2014-04-19,101,12105,102307200077068,0,0,0,7
2014-04-20,101,12105,102307200077068,0,0,0,7
2014-04-21,101,12105,102307200077068,0,0,0,7
2014-04-08,101,12105,102307200074766,0,0,0,41
2014-04-09,101,12105,102307200074766,0,0,0,39
2014-04-10,101,12105,102307200074766,0,0,0,38
2014-04-11,101,12105,102307200074766,0,0,0,37
2014-04-12,101,12105,102307200074766,0,0,0,36
2014-04-13,101,12105,102307200074766,0,0,0,34
2014-04-14,101,12105,102307200074766,0,0,0,34
2014-04-15,101,12105,102307200074766,0,0,0,33
2014-04-16,101,12105,102307200074766,0,0,0,33
2014-04-17,101,12105,102307200074766,0,0,0,33
2014-04-18,101,12105,102307200074766,0,0,0,32
2014-04-19,101,12105,102307200074766,0,0,0,27
2014-04-20,101,12105,102307200074766,0,0,0,22
2014-04-21,101,12105,102307200074766,0,0,0,20
2014-04-08,101,10571,102307200072010,0,0,18,6
2014-04-09,101,10571,102307200072010,0,18,0,6
2014-04-10,101,10571,102307200072010,18,0,0,5
2014-04-11,101,10571,102307200072010,0,0,20,23
2014-04-12,101,10571,102307200072010,0,0,20,20
2014-04-13,101,10571,102307200072010,0,0,20,19
2014-04-14,101,10571,102307200072010,0,0,20,18
2014-04-15,101,10571,102307200072010,0,0,20,18
2014-04-16,101,10571,102307200072010,0,0,20,18
2014-04-17,101,10571,102307200072010,0,0,20,18
2014-04-18,101,10571,102307200072010,0,0,20,16
2014-04-19,101,10571,102307200072010,0,0,20,16
2014-04-20,101,10571,102307200072010,0,20,0,14
2014-04-21,101,10571,102307200072010,0,20,0,13
2014-04-08,101,11015,102307200002148,0,0,0,5
2014-04-09,101,11015,102307200002148,0,6,0,4
2014-04-10,101,11015,102307200002148,6,0,0,4
2014-04-11,101,11015,102307200002148,0,0,0,7
2014-04-12,101,11015,102307200002148,0,0,0,6
2014-04-13,101,11015,102307200002148,0,0,0,5
2014-04-14,101,11015,102307200002148,0,6,0,4
2014-04-15,101,11015,102307200002148,6,0,0,4
2014-04-16,101,11015,102307200002148,0,0,0,10
2014-04-17,101,11015,102307200002148,0,0,0,10
2014-04-18,101,11015,102307200002148,0,0,0,10
2014-04-19,101,11015,102307200002148,0,0,0,10
2014-04-20,101,11015,102307200002148,0,0,0,10
2014-04-21,101,11015,102307200002148,0,0,0,10
2014-04-08,101,11132,102307200051728,0,8,0,11
2014-04-09,101,11132,102307200051728,0,8,0,9
2014-04-10,101,11132,102307200051728,8,0,0,6
2014-04-11,101,11132,102307200051728,0,0,0,12
2014-04-12,101,11132,102307200051728,0,8,0,10
2014-04-13,101,11132,102307200051728,0,8,0,8
2014-04-14,101,11132,102307200051728,8,0,0,8
2014-04-15,101,11132,102307200051728,0,0,0,14
2014-04-16,101,11132,102307200051728,0,0,0,13
2014-04-17,101,11132,102307200051728,0,0,0,11
2014-04-18,101,11132,102307200051728,0,0,0,11
2014-04-19,101,11132,102307200051728,0,8,0,9
2014-04-20,101,11132,102307200051728,0,8,0,9
2014-04-21,101,11132,102307200051728,8,0,0,8
2014-04-08,101,11132,102307200026782,0,0,0,9
2014-04-09,101,11132,102307200026782,0,0,0,9
2014-04-10,101,11132,102307200026782,0,0,0,9
2014-04-11,101,11132,102307200026782,0,0,0,9
2014-04-12,101,11132,102307200026782,0,0,0,9
2014-04-13,101,11132,102307200026782,0,0,0,9
2014-04-14,101,11132,102307200026782,0,0,0,9
2014-04-15,101,11132,102307200026782,0,0,0,9
2014-04-16,101,11132,102307200026782,0,0,0,8
2014-04-17,101,11132,102307200026782,0,0,0,7
2014-04-18,101,11132,102307200026782,0,0,0,6
2014-04-19,101,11132,102307200026782,0,0,0,6
2014-04-20,101,11132,102307200026782,0,0,0,6
2014-04-21,101,11132,102307200026782,0,0,6,5
2014-04-08,101,12105,102307200022134,0,0,0,13
2014-04-09,101,12105,102307200022134,0,0,0,13
2014-04-10,101,12105,102307200022134,0,0,0,13
2014-04-11,101,12105,102307200022134,0,0,0,11
2014-04-12,101,12105,102307200022134,0,0,0,9
2014-04-13,101,12105,102307200022134,0,0,0,8
2014-04-14,101,12105,102307200022134,0,6,0,8
2014-04-15,101,12105,102307200022134,0,6,0,8
2014-04-16,101,12105,102307200022134,0,0,0,13
2014-04-17,101,12105,102307200022134,0,0,0,13
2014-04-18,101,12105,102307200022134,0,0,0,13
2014-04-19,101,12105,102307200022134,0,0,0,13
2014-04-20,101,12105,102307200022134,0,0,0,11
2014-04-21,101,12105,102307200022134,0,0,0,11
2014-04-08,101,11015,102307200071940,0,0,0,8
2014-04-09,101,11015,102307200071940,0,0,0,7
2014-04-10,101,11015,102307200071940,0,0,0,7
2014-04-11,101,11015,102307200071940,0,0,0,7
2014-04-12,101,11015,102307200071940,0,0,0,7
2014-04-13,101,11015,102307200071940,0,0,0,7
2014-04-14,101,11015,102307200071940,0,0,0,7
2014-04-15,101,11015,102307200071940,0,0,0,7
2014-04-16,101,11015,102307200071940,0,0,0,5
2014-04-17,101,11015,102307200071940,0,0,0,5
2014-04-18,101,11015,102307200071940,0,0,0,5
2014-04-19,101,11015,102307200071940,0,0,0,5
2014-04-20,101,11015,102307200071940,0,0,0,5
2014-04-21,101,11015,102307200071940,0,0,0,5
2014-04-08,101,11132,102307200037952,0,0,0,28
2014-04-09,101,11132,102307200037952,0,0,0,28
2014-04-10,101,11132,102307200037952,0,0,0,28
2014-04-11,101,11132,102307200037952,0,0,0,28
2014-04-12,101,11132,102307200037952,0,0,0,28
2014-04-13,101,11132,102307200037952,0,0,0,28
2014-04-14,101,11132,102307200037952,0,0,0,28
2014-04-15,101,11132,102307200037952,0,0,0,27
2014-04-16,101,11132,102307200037952,0,0,0,27
2014-04-17,101,11132,102307200037952,0,0,0,22
2014-04-18,101,11132,102307200037952,0,0,0,21
2014-04-19,101,11132,102307200037952,0,0,0,21
2014-04-20,101,11132,102307200037952,0,0,0,21
2014-04-21,101,11132,102307200037952,0,0,0,21
2014-04-08,101,11015,102307200020716,0,8,0,9
2014-04-09,101,11015,102307200020716,8,0,0,7
2014-04-10,101,11015,102307200020716,0,0,0,15
2014-04-11,101,11015,102307200020716,0,0,0,15
2014-04-12,101,11015,102307200020716,0,0,0,15
2014-04-13,101,11015,102307200020716,0,0,0,15
2014-04-14,101,11015,102307200020716,0,0,0,15
2014-04-15,101,11015,102307200020716,0,0,0,15
2014-04-16,101,11015,102307200020716,0,0,0,15
2014-04-17,101,11015,102307200020716,0,0,0,12
2014-04-18,101,11015,102307200020716,0,0,0,12
2014-04-19,101,11015,102307200020716,0,0,0,12
2014-04-20,101,11015,102307200020716,0,0,0,11
2014-04-21,101,11015,102307200020716,0,0,0,11
2014-04-08,101,11873,102421077712960,0,0,0,72
2014-04-09,101,11873,102421077712960,0,0,0,72
2014-04-10,101,11873,102421077712960,0,0,0,72
2014-04-11,101,11873,102421077712960,0,0,0,72
2014-04-12,101,11873,102421077712960,0,0,0,72
2014-04-13,101,11873,102421077712960,0,0,0,72
2014-04-14,101,11873,102421077712960,0,0,0,72
2014-04-15,101,11873,102421077712960,0,0,0,72
2014-04-16,101,11873,102421077712960,0,0,0,72
2014-04-17,101,11873,102421077712960,0,0,0,72
2014-04-18,101,11873,102421077712960,0,0,0,72
2014-04-19,101,11873,102421077712960,0,0,0,72
2014-04-20,101,11873,102421077712960,0,0,0,72
2014-04-21,101,11873,102421077712960,0,0,0,72
2014-04-08,101,11132,102307200071940,0,0,0,11
2014-04-09,101,11132,102307200071940,0,0,0,11
2014-04-10,101,11132,102307200071940,0,0,0,11
2014-04-11,101,11132,102307200071940,0,0,0,11
2014-04-12,101,11132,102307200071940,0,0,0,11
2014-04-13,101,11132,102307200071940,0,0,0,11
2014-04-14,101,11132,102307200071940,0,0,0,10
2014-04-15,101,11132,102307200071940,0,0,0,9
2014-04-16,101,11132,102307200071940,0,0,0,9
2014-04-17,101,11132,102307200071940,0,0,0,9
2014-04-18,101,11132,102307200071940,0,0,0,9
2014-04-19,101,11132,102307200071940,0,0,0,9
2014-04-20,101,11132,102307200071940,0,0,0,9
2014-04-21,101,11132,102307200071940,0,0,0,9
2014-04-08,101,12105,102307200074748,0,0,0,11
2014-04-09,101,12105,102307200074748,0,0,0,10
2014-04-10,101,12105,102307200074748,0,0,0,8
2014-04-11,101,12105,102307200074748,0,6,0,8
2014-04-12,101,12105,102307200074748,6,0,0,7
2014-04-13,101,12105,102307200074748,0,0,0,11
2014-04-14,101,12105,102307200074748,0,0,0,10
2014-04-15,101,12105,102307200074748,0,0,0,9
2014-04-16,101,12105,102307200074748,0,0,0,6
2014-04-17,101,12105,102307200074748,0,6,0,5
2014-04-18,101,12105,102307200074748,0,6,0,5
2014-04-19,101,12105,102307200074748,6,0,0,5
2014-04-20,101,12105,102307200074748,0,0,0,11
2014-04-21,101,12105,102307200074748,0,0,0,11
2014-04-08,101,11132,102307200024646,0,0,0,-1
2014-04-09,101,11132,102307200024646,0,0,0,-1
2014-04-10,101,11132,102307200024646,0,0,0,-1
2014-04-11,101,11132,102307200024646,0,0,0,-1
2014-04-12,101,11132,102307200024646,0,0,0,-1
2014-04-13,101,11132,102307200024646,0,0,0,-1
2014-04-14,101,11132,102307200024646,0,0,0,-1
2014-04-15,101,11132,102307200024646,0,0,0,-1
2014-04-16,101,11132,102307200024646,0,0,0,-1
2014-04-17,101,11132,102307200024646,0,0,0,-1
2014-04-18,101,11132,102307200024646,0,0,0,-1
2014-04-19,101,11132,102307200024646,0,0,0,-1
2014-04-20,101,11132,102307200024646,0,0,0,-1
2014-04-21,101,11132,102307200024646,0,0,0,-1
2014-04-08,101,10571,102307200065038,0,0,0,5
2014-04-09,101,10571,102307200065038,0,0,0,5
2014-04-10,101,10571,102307200065038,0,0,0,5
2014-04-11,101,10571,102307200065038,0,0,0,3
2014-04-12,101,10571,102307200065038,0,0,0,3
2014-04-13,101,10571,102307200065038,0,0,0,3
2014-04-14,101,10571,102307200065038,0,0,0,3
2014-04-15,101,10571,102307200065038,0,0,0,3
2014-04-16,101,10571,102307200065038,0,0,0,3
2014-04-17,101,10571,102307200065038,0,0,0,3
2014-04-18,101,10571,102307200065038,0,0,0,3
2014-04-19,101,10571,102307200065038,0,0,0,3
2014-04-20,101,10571,102307200065038,0,0,0,3
2014-04-21,101,10571,102307200065038,0,0,0,3
2014-04-08,101,11015,102421077713040,0,0,0,360
2014-04-09,101,11015,102421077713040,0,0,0,360
2014-04-10,101,11015,102421077713040,0,0,0,360
2014-04-11,101,11015,102421077713040,0,0,0,360
2014-04-12,101,11015,102421077713040,0,0,0,360
2014-04-13,101,11015,102421077713040,0,0,0,360
2014-04-14,101,11015,102421077713040,0,0,0,360
2014-04-15,101,11015,102421077713040,0,0,0,360
2014-04-16,101,11015,102421077713040,0,0,0,360
2014-04-17,101,11015,102421077713040,0,0,0,360
2014-04-18,101,11015,102421077713040,0,0,0,360
2014-04-19,101,11015,102421077713040,0,0,0,360
2014-04-20,101,11015,102421077713040,0,0,0,360
2014-04-21,101,11015,102421077713040,0,0,0,360
2014-04-08,101,10571,102307200074746,0,0,0,74
2014-04-09,101,10571,102307200074746,0,0,0,66
2014-04-10,101,10571,102307200074746,0,0,0,59
2014-04-11,101,10571,102307200074746,0,0,0,49
2014-04-12,101,10571,102307200074746,0,0,0,33
2014-04-13,101,10571,102307200074746,0,36,0,25
2014-04-14,101,10571,102307200074746,0,36,0,19
2014-04-15,101,10571,102307200074746,0,0,0,49
2014-04-16,101,10571,102307200074746,0,0,0,40
2014-04-17,101,10571,102307200074746,0,36,0,30
2014-04-18,101,10571,102307200074746,0,36,0,23
2014-04-19,101,10571,102307200074746,36,0,0,21
2014-04-20,101,10571,102307200074746,0,0,0,55
2014-04-21,101,10571,102307200074746,0,0,0,48
2014-04-08,101,12105,102307200074802,0,0,4,10
2014-04-09,101,12105,102307200074802,4,0,8,9
2014-04-10,101,12105,102307200074802,0,4,8,9
2014-04-11,101,12105,102307200074802,0,0,16,8
2014-04-12,101,12105,102307200074802,0,0,12,5
2014-04-13,101,12105,102307200074802,0,12,0,4
2014-04-14,101,12105,102307200074802,12,0,8,3
2014-04-15,101,12105,102307200074802,0,0,12,14
2014-04-16,101,12105,102307200074802,0,0,8,14
2014-04-17,101,12105,102307200074802,0,0,8,13
2014-04-18,101,12105,102307200074802,8,0,0,13
2014-04-19,101,12105,102307200074802,0,8,4,20
2014-04-20,101,12105,102307200074802,0,0,0,18
2014-04-21,101,12105,102307200074802,0,0,4,18
2014-04-08,101,11132,102307200071952,0,0,0,11
2014-04-09,101,11132,102307200071952,0,0,0,11
2014-04-10,101,11132,102307200071952,0,0,0,10
2014-04-11,101,11132,102307200071952,0,0,0,8
2014-04-12,101,11132,102307200071952,0,0,0,8
2014-04-13,101,11132,102307200071952,0,0,0,8
2014-04-14,101,11132,102307200071952,0,0,0,8
2014-04-15,101,11132,102307200071952,0,0,0,8
2014-04-16,101,11132,102307200071952,0,0,0,7
2014-04-17,101,11132,102307200071952,0,0,0,7
2014-04-18,101,11132,102307200071952,0,0,0,7
2014-04-19,101,11132,102307200071952,0,0,0,7
2014-04-20,101,11132,102307200071952,0,0,0,6
2014-04-21,101,11132,102307200071952,0,0,0,6
2014-04-08,101,11015,102307200068666,0,0,8,7
2014-04-09,101,11015,102307200068666,0,0,8,7
2014-04-10,101,11015,102307200068666,0,0,8,5
2014-04-11,101,11015,102307200068666,0,8,8,5
2014-04-12,101,11015,102307200068666,0,8,8,5
2014-04-13,101,11015,102307200068666,8,0,8,3
2014-04-14,101,11015,102307200068666,0,0,8,10
2014-04-15,101,11015,102307200068666,0,8,0,10
2014-04-16,101,11015,102307200068666,0,8,0,9
2014-04-17,101,11015,102307200068666,0,0,0,16
2014-04-18,101,11015,102307200068666,0,0,0,15
2014-04-19,101,11015,102307200068666,0,0,0,15
2014-04-20,101,11015,102307200068666,0,0,0,14
2014-04-21,101,11015,102307200068666,0,0,0,13
2014-04-08,101,11873,102307200025678,0,0,0,4
2014-04-09,101,11873,102307200025678,0,0,0,4
